<texture>
  agility texture\agility.png 0 0 79 79 2 80
  armoured1 texture\armoured.png 0 0 79 79 2 80
  armoured2 texture\armoured.png 158 0 79 79 2 80
  armoured3 texture\armoured.png 316 0 79 79 2 80
  ordinary1 texture\ordinary1.png 0 0 79 79 2 80
  ordinary2 texture\ordinary2.png 0 0 79 79 2 80
  P1 texture\P1.png 0 0 79 79 2 100
  base texture\map.png 40 0 80 80 1
  brick texture\map.png 0 0 40 40 1
  rock texture\map.png 0 80 40 40 1
  water texture\map.png 40 80 40 40 2 1000
  woods texture\map.png 0 40 40 40 1
  missile texture\missile.png 0 0 12 12 1
  boom texture\boom.png 0 0 42 42 1
  playerTankCountIcon texture\playerTankCountIcon.png 0 0 32 34 1
  enemyCountIcon texture\enemyCountIcon.png 0 0 34 27 1
  levelIcon texture\levelIcon.png 0 0 36 68 1
  LOGO texture\LOGO.png 0 0 797 202 1
  MenuCursor texture\MenuCursor.png 0 0 30 30 1
  <end>

<tank>
	P1 0.5 1 P1 DEFAULT DEFAULT
	agility 0.45 1 agility DEFAULT DEFAULT
	armoured 0.3 3 armoured1 armoured2 armoured3 DEFAULT DEFAULT
	ordinary1 0.35 1 ordinary1 DEFAULT DEFAULT
	ordinary2 0.35 1 ordinary2 DEFAULT DEFAULT
<end>

<terrain>
  base   0 1
  brick  0 1
  rock   0 2
  water  0 0
  woods  -1 0
<end>

<level 1>
-3  0  0  0  0  0  0  0  0  0  0  0 -3  0  0  0  0  0  0  0  0  0  0  0 -3  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  3  3  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  3  3  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0
 0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0  0
 2  2  0  0  2  2  2  2  0  0  0  0  0  0  0  0  0  0  2  2  2  2  0  0  2  2
 3  3  0  0  2  2  2  2  0  0  0  0  0  0  0  0  0  0  2  2  2  2  0  0  3  3
 0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  2  2  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  0  2  2  2  2  0  0  0  2  2  0  0  2  2  0  0
 0  0  0  0  0  0  0  0  0 -1  0  2  1  1  2 -2  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  2  1  1  2  0  0  0  0  0  0  0  0  0  0  0
<end>
<level 2>
-3  0  0  0  0  0  3  3  0  0  0  0 -3  0  3  3  0  0  0  0  0  0  0  0 -3  0
 0  0  0  0  0  0  3  3  0  0  0  0  0  0  3  3  0  0  0  0  0  0  0  0  0  0
 0  0  2  2  0  0  3  3  0  0  0  0  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  3  3  0  0  0  0  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  0  0  0  0  0  0  2  2  2  2  0  0  2  2  3  3  2  2  0  0
 0  0  2  2  0  0  0  0  0  0  0  0  2  2  2  2  0  0  2  2  3  3  2  2  0  0
 0  0  0  0  0  0  2  2  0  0  0  0  0  0  0  0  0  0  3  3  0  0  0  0  0  0
 0  0  0  0  0  0  2  2  0  0  0  0  0  0  0  0  0  0  3  3  0  0  0  0  0  0
 5  5  0  0  0  0  2  2  0  0  0  0  3  3  0  0  0  0  2  2  5  5  2  2  3  3
 5  5  0  0  0  0  2  2  0  0  0  0  3  3  0  0  0  0  2  2  5  5  2  2  3  3
 5  5  5  5  0  0  0  0  0  0  2  2  0  0  0  0  3  3  0  0  5  5  0  0  0  0
 5  5  5  5  0  0  0  0  0  0  2  2  0  0  0  0  3  3  0  0  5  5  0  0  0  0
 0  0  2  2  2  2  2  2  5  5  5  5  5  5  3  3  0  0  0  0  5  5  2  2  0  0
 0  0  2  2  2  2  2  2  5  5  5  5  5  5  3  3  0  0  0  0  5  5  2  2  0  0
 0  0  0  0  0  0  3  3  5  5  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 0  0  0  0  0  0  3  3  5  5  2  2  0  0  2  2  0  0  2  2  0  0  2  2  0  0
 3  3  2  2  0  0  3  3  0  0  2  2  0  0  2  2  0  0  0  0  0  0  2  2  0  0
 3  3  2  2  0  0  3  3  0  0  2  2  0  0  2  2  0  0  0  0  0  0  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  2  2  2  2  0  0  2  2  3  3  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  2  2  2  2  0  0  2  2  3  3  2  2  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0
 0  0  2  2  0  0  2  2  0  0  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0
 0  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0
 0  0  2  2  0  0  0  0  0  0  0  2  2  2  2  0  0  0  2  2  0  0  2  2  0  0
